ID,Название,Дата начала,Статус
8713,Project 8713,2023-04-23,Завершен
8714,Project 8714,2023-12-17,Завершен
8715,Project 8715,2023-10-19,Завершен
8716,Project 8716,2023-08-21,В процессе
8717,Project 8717,2023-03-16,Завершен
8718,Project 8718,2023-12-31,Завершен
8719,Project 8719,2023-03-14,В процессе
8720,Project 8720,2023-06-10,В процессе
8721,Project 8721,2023-07-15,Завершен
8722,Project 8722,2023-07-18,Завершен
8723,Project 8723,2023-08-10,В процессе
8724,Project 8724,2023-04-08,В процессе
8725,Project 8725,2023-12-16,Завершен
8726,Project 8726,2023-04-13,Завершен
8727,Project 8727,2023-03-21,В процессе
8728,Project 8728,2023-05-24,Завершен
8729,Project 8729,2023-05-18,В процессе
8730,Project 8730,2023-12-09,В процессе
8731,Project 8731,2023-03-25,Завершен
8732,Project 8732,2023-07-12,Завершен
8733,Project 8733,2023-05-15,В процессе
8734,Project 8734,2023-04-01,Завершен
8735,Project 8735,2023-06-17,В процессе
8736,Project 8736,2023-04-30,Завершен
8737,Project 8737,2023-10-01,Завершен
8738,Project 8738,2023-07-19,Завершен
8739,Project 8739,2023-09-02,В процессе
8740,Project 8740,2023-08-18,В процессе
8741,Project 8741,2023-05-14,В процессе
8742,Project 8742,2023-11-18,Завершен
8743,Project 8743,2023-08-23,Завершен
8744,Project 8744,2023-12-15,Завершен
8745,Project 8745,2023-07-01,Завершен
8746,Project 8746,2023-01-08,Завершен
8747,Project 8747,2023-05-07,Завершен
8748,Project 8748,2023-10-30,В процессе
8749,Project 8749,2023-05-03,Завершен
8750,Project 8750,2023-08-24,В процессе
8751,Project 8751,2023-12-26,Завершен
8752,Project 8752,2023-10-12,Завершен
8753,Project 8753,2023-03-01,Завершен
8754,Project 8754,2023-09-05,В процессе
8755,Project 8755,2023-03-19,Завершен
8756,Project 8756,2023-03-15,В процессе
8757,Project 8757,2023-02-05,В процессе
8758,Project 8758,2023-03-22,Завершен
8759,Project 8759,2023-10-05,Завершен
8760,Project 8760,2023-01-25,В процессе
8761,Project 8761,2023-10-23,Завершен
8762,Project 8762,2023-08-13,Завершен
8763,Project 8763,2023-11-11,В процессе
8764,Project 8764,2023-09-22,Завершен
8765,Project 8765,2023-10-19,В процессе
8766,Project 8766,2023-10-26,Завершен
8767,Project 8767,2023-09-09,Завершен
8768,Project 8768,2023-01-13,Завершен
8769,Project 8769,2023-10-22,Завершен
8770,Project 8770,2023-08-01,В процессе
8771,Project 8771,2023-12-22,Завершен
8772,Project 8772,2023-08-07,Завершен
8773,Project 8773,2023-01-03,Завершен
8774,Project 8774,2023-03-19,Завершен
8775,Project 8775,2023-08-28,Завершен
8776,Project 8776,2023-04-24,Завершен
8777,Project 8777,2023-08-23,В процессе
8778,Project 8778,2023-03-08,В процессе
8779,Project 8779,2023-07-04,Завершен
8780,Project 8780,2023-11-28,Завершен
8781,Project 8781,2023-12-24,Завершен
8782,Project 8782,2023-04-18,Завершен
8783,Project 8783,2023-06-28,Завершен
8784,Project 8784,2023-04-23,В процессе
8785,Project 8785,2023-05-14,Завершен
8786,Project 8786,2023-03-06,Завершен
8787,Project 8787,2023-05-07,Завершен
8788,Project 8788,2023-07-03,В процессе
8789,Project 8789,2023-03-08,В процессе
8790,Project 8790,2023-11-08,Завершен
8791,Project 8791,2023-03-09,В процессе
8792,Project 8792,2023-04-22,В процессе
8793,Project 8793,2023-07-08,В процессе
8794,Project 8794,2023-05-16,Завершен
8795,Project 8795,2023-03-31,Завершен
8796,Project 8796,2023-11-13,В процессе
8797,Project 8797,2023-01-10,В процессе
8798,Project 8798,2023-08-29,В процессе
8799,Project 8799,2023-10-01,В процессе
8800,Project 8800,2023-05-12,Завершен
8801,Project 8801,2023-11-14,Завершен
8802,Project 8802,2023-02-25,Завершен
8803,Project 8803,2023-07-01,В процессе
8804,Project 8804,2023-07-22,Завершен
8805,Project 8805,2023-05-29,В процессе
8806,Project 8806,2023-01-11,Завершен
8807,Project 8807,2023-08-10,Завершен
8808,Project 8808,2023-03-27,В процессе
8809,Project 8809,2023-08-28,В процессе
8810,Project 8810,2023-03-09,Завершен
8811,Project 8811,2023-04-06,В процессе
8812,Project 8812,2023-02-04,В процессе
8813,Project 8813,2023-02-24,Завершен
8814,Project 8814,2023-10-01,Завершен
8815,Project 8815,2023-02-06,В процессе
8816,Project 8816,2023-08-22,В процессе
8817,Project 8817,2023-12-05,В процессе
8818,Project 8818,2023-02-10,Завершен
8819,Project 8819,2023-02-01,В процессе
8820,Project 8820,2023-08-14,Завершен
8821,Project 8821,2023-01-03,В процессе
8822,Project 8822,2023-06-10,Завершен
8823,Project 8823,2023-06-03,Завершен
8824,Project 8824,2023-09-24,В процессе
8825,Project 8825,2023-04-14,Завершен
8826,Project 8826,2023-05-03,В процессе
8827,Project 8827,2023-08-21,Завершен
8828,Project 8828,2023-09-27,Завершен
8829,Project 8829,2023-03-27,В процессе
8830,Project 8830,2023-08-22,Завершен
8831,Project 8831,2023-08-30,В процессе
8832,Project 8832,2023-05-24,Завершен
8833,Project 8833,2023-09-03,В процессе
8834,Project 8834,2023-08-03,Завершен
8835,Project 8835,2023-01-25,В процессе
8836,Project 8836,2023-10-08,В процессе
8837,Project 8837,2023-11-30,В процессе
8838,Project 8838,2023-02-12,Завершен
8839,Project 8839,2023-09-09,Завершен
8840,Project 8840,2023-03-20,В процессе
8841,Project 8841,2023-01-21,В процессе
8842,Project 8842,2023-05-25,В процессе
8843,Project 8843,2023-09-21,В процессе
8844,Project 8844,2023-12-14,Завершен
8845,Project 8845,2023-07-17,В процессе
8846,Project 8846,2023-08-29,В процессе
8847,Project 8847,2023-01-17,В процессе
8848,Project 8848,2023-02-18,В процессе
8849,Project 8849,2023-07-27,Завершен
8850,Project 8850,2023-03-10,Завершен
8851,Project 8851,2023-04-20,В процессе
8852,Project 8852,2023-03-06,В процессе
8853,Project 8853,2023-11-11,Завершен
8854,Project 8854,2023-10-09,В процессе
8855,Project 8855,2023-04-16,Завершен
8856,Project 8856,2023-11-25,В процессе
8857,Project 8857,2023-02-24,В процессе
8858,Project 8858,2023-11-11,В процессе
8859,Project 8859,2023-05-13,В процессе
8860,Project 8860,2023-07-14,В процессе
8861,Project 8861,2023-10-13,В процессе
8862,Project 8862,2023-08-19,В процессе
8863,Project 8863,2023-10-31,В процессе
8864,Project 8864,2023-05-04,Завершен
8865,Project 8865,2023-04-29,В процессе
8866,Project 8866,2023-06-04,В процессе
8867,Project 8867,2023-08-15,В процессе
8868,Project 8868,2023-05-15,Завершен
8869,Project 8869,2023-09-29,Завершен
8870,Project 8870,2023-07-20,В процессе
8871,Project 8871,2023-12-02,Завершен
8872,Project 8872,2023-08-06,Завершен
8873,Project 8873,2023-10-20,Завершен
8874,Project 8874,2023-12-24,Завершен
8875,Project 8875,2023-01-06,Завершен
8876,Project 8876,2023-12-28,В процессе
8877,Project 8877,2023-06-11,В процессе
8878,Project 8878,2023-02-23,Завершен
8879,Project 8879,2023-06-14,В процессе
8880,Project 8880,2023-11-08,Завершен
8881,Project 8881,2023-06-09,Завершен
8882,Project 8882,2023-05-19,Завершен
8883,Project 8883,2023-02-21,В процессе
8884,Project 8884,2023-08-15,Завершен
8885,Project 8885,2023-05-18,В процессе
8886,Project 8886,2023-05-06,В процессе
8887,Project 8887,2023-11-09,В процессе
8888,Project 8888,2023-09-30,Завершен
8889,Project 8889,2023-12-20,Завершен
8890,Project 8890,2023-02-27,Завершен
8891,Project 8891,2023-04-27,Завершен
8892,Project 8892,2023-06-18,Завершен
8893,Project 8893,2023-07-08,В процессе
8894,Project 8894,2023-07-17,Завершен
8895,Project 8895,2023-11-24,В процессе
8896,Project 8896,2023-04-29,В процессе
8897,Project 8897,2023-01-18,Завершен
8898,Project 8898,2023-10-29,В процессе
8899,Project 8899,2023-03-04,В процессе
8900,Project 8900,2023-01-08,Завершен
8901,Project 8901,2023-06-07,В процессе
8902,Project 8902,2023-08-11,В процессе
8903,Project 8903,2023-07-27,В процессе
8904,Project 8904,2023-04-17,Завершен
8905,Project 8905,2023-09-21,В процессе
8906,Project 8906,2023-02-06,В процессе
8907,Project 8907,2023-01-19,Завершен
8908,Project 8908,2023-06-25,Завершен
8909,Project 8909,2023-04-14,Завершен
8910,Project 8910,2023-12-09,Завершен
8911,Project 8911,2023-10-22,Завершен
8912,Project 8912,2023-03-21,Завершен
8913,Project 8913,2023-12-09,Завершен
8914,Project 8914,2023-01-13,В процессе
8915,Project 8915,2023-10-14,В процессе
8916,Project 8916,2023-03-03,В процессе
8917,Project 8917,2023-09-03,Завершен
8918,Project 8918,2023-11-27,Завершен
8919,Project 8919,2023-06-04,Завершен
8920,Project 8920,2023-12-04,В процессе
8921,Project 8921,2023-12-20,Завершен
8922,Project 8922,2023-10-10,В процессе
8923,Project 8923,2023-04-22,В процессе
8924,Project 8924,2023-12-31,Завершен
8925,Project 8925,2023-02-26,Завершен
8926,Project 8926,2023-03-01,Завершен
8927,Project 8927,2023-05-18,Завершен
8928,Project 8928,2023-10-25,В процессе
8929,Project 8929,2023-01-16,Завершен
8930,Project 8930,2023-09-24,Завершен
8931,Project 8931,2023-05-22,В процессе
8932,Project 8932,2023-04-30,В процессе
8933,Project 8933,2023-02-20,Завершен
8934,Project 8934,2023-10-12,В процессе
8935,Project 8935,2023-06-11,Завершен
8936,Project 8936,2023-12-07,Завершен
8937,Project 8937,2023-09-23,Завершен
8938,Project 8938,2023-01-08,Завершен
8939,Project 8939,2023-12-07,В процессе
8940,Project 8940,2023-10-28,В процессе
8941,Project 8941,2023-11-02,Завершен
8942,Project 8942,2023-09-25,Завершен
8943,Project 8943,2023-07-29,Завершен
8944,Project 8944,2023-05-22,Завершен
8945,Project 8945,2023-01-05,Завершен
8946,Project 8946,2023-09-17,Завершен
8947,Project 8947,2023-02-08,Завершен
8948,Project 8948,2023-04-21,Завершен
8949,Project 8949,2023-11-19,Завершен
8950,Project 8950,2023-08-29,В процессе
8951,Project 8951,2023-07-16,Завершен
8952,Project 8952,2023-03-21,Завершен
8953,Project 8953,2023-09-26,Завершен
8954,Project 8954,2023-05-09,В процессе
8955,Project 8955,2023-07-02,В процессе
8956,Project 8956,2023-02-24,Завершен
8957,Project 8957,2023-06-06,В процессе
8958,Project 8958,2023-10-30,В процессе
8959,Project 8959,2023-11-07,В процессе
8960,Project 8960,2023-12-15,Завершен
8961,Project 8961,2023-05-15,В процессе
8962,Project 8962,2023-09-21,В процессе
8963,Project 8963,2023-02-11,Завершен
8964,Project 8964,2023-02-24,В процессе
8965,Project 8965,2023-10-12,Завершен
8966,Project 8966,2023-03-18,В процессе
8967,Project 8967,2023-08-26,В процессе
8968,Project 8968,2023-04-19,В процессе
8969,Project 8969,2023-01-27,Завершен
8970,Project 8970,2023-03-01,В процессе
8971,Project 8971,2023-04-03,Завершен
8972,Project 8972,2023-06-08,В процессе
8973,Project 8973,2023-11-26,В процессе
8974,Project 8974,2023-12-04,В процессе
8975,Project 8975,2023-04-12,Завершен
8976,Project 8976,2023-03-16,В процессе
8977,Project 8977,2023-03-09,В процессе
8978,Project 8978,2023-01-12,В процессе
8979,Project 8979,2023-09-12,Завершен
8980,Project 8980,2023-06-14,В процессе
8981,Project 8981,2023-04-15,Завершен
8982,Project 8982,2023-06-29,В процессе
8983,Project 8983,2023-03-08,Завершен
8984,Project 8984,2023-02-13,В процессе
8985,Project 8985,2023-10-30,В процессе
8986,Project 8986,2023-11-17,В процессе
8987,Project 8987,2023-08-12,В процессе
8988,Project 8988,2023-08-10,В процессе
8989,Project 8989,2023-04-25,В процессе
8990,Project 8990,2023-06-18,Завершен
8991,Project 8991,2023-10-06,В процессе
8992,Project 8992,2023-07-03,Завершен
8993,Project 8993,2023-04-17,В процессе
